country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KR,IN,,,0.0,8.9,621.9,RE_PV_Openfield_Lim_[IN]
KR,IN,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[IN]
KR,IN,,,0.0,70.2,1461.5,RE_WIND_Onshore_Lim_0_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[IN]
KR,IN,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[IN]
KR,IN,,,0.0,0.8,43.4,HYDRO_[IN]
KR,IN,,,0.0,0.0,0.0,PP_CO2_[IN]
KR,IN,,,0.0,9.5,526.3,BESS_[IN]
KR,IN,,,0.0,0.1,6.3,EL_to_HTH_[IN]
KR,IN,,,0.0,2.8,48.1,EL_to_NH3_[IN]
KR,IN,,,0.0,8.2,493.9,NH3_Storage_[IN]
KR,IN,,,0.0,3.3,41.2,NH3_to_EL_[IN]
KR,IN,,,0.0,0.0,1.2,NH3_to_HTH_[IN]
KR,IN,,,0.0,0.0,0.0,FF_to_HTH_[IN]
KR,IN,,,0.0,0.0,497.9,EL_Demand_[IN]
KR,IN,,,0.0,0.0,6.4,HTH_Demand_[IN]
KR,IN,,,0.0,2.3,96.3,RE_PV_Openfield_Lim_[KR]
