country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BN,PH,TH,,0.0,0.1,5.0,RE_PV_Openfield_Lim_[BN]
BN,PH,TH,,0.0,0.0,0.4,RE_PV_Rooftop_Lim_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_0_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[BN]
BN,PH,TH,,0.0,0.0,0.3,RE_WIND_Onshore_Lim_4_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[BN]
BN,PH,TH,,0.0,0.4,1.9,RE_WIND_Offshore_Lim_0_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[BN]
BN,PH,TH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[BN]
