Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,0.0,G$/GWp,262800,h,WINDOUT,24,0,0.0,GWp,SGP
1,1.932515451,G$/GWp,262800,h,WINDOUT,24,0,66.4448,GWp,IDN
2,2.470238363,G$/GWp,262800,h,WINDOUT,24,0,10.0264,GWp,MYS
3,2.546930602,G$/GWp,262800,h,WINDOUT,24,0,0.028,GWp,BRN
4,1.477576026,G$/GWp,262800,h,WINDOUT,24,0,10.6218,GWp,KHM
5,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,100.0,GWp,MMR
6,1.525171877,G$/GWp,262800,h,WINDOUT,24,0,16.7958,GWp,PHL
7,1.491400382,G$/GWp,262800,h,WINDOUT,24,0,40.8008,GWp,THA
8,1.453936277,G$/GWp,262800,h,WINDOUT,24,0,20.5246,GWp,VNM
9,1.806649052,G$/GWp,262800,h,WINDOUT,24,0,12.8176,GWp,LAO
10,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,AUS
11,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,SAU
12,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000.0,GWp,ARE
14,1.468929644,G$/GWp,219000,h,WINDOUT,24,0,101.794,GWp,MAR
15,1.4123068479999998,G$/GWp,219000,h,WINDOUT,24,0,145.257,GWp,KEN
16,1.480256869,G$/GWp,219000,h,WINDOUT,24,0,435.0955,GWp,ZAF
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,15.813,GWp,KOR
18,1.328821939,G$/GWp,219000,h,WINDOUT,24,0,336.606,GWp,EGY
19,1.4123068479999998,G$/GWp,219000,h,WINDOUT,24,0,246.239,GWp,NGA
20,1.054285569,G$/GWp,262800,h,WINDOUT,24,0,1551.7985,GWp,BRA
21,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,171.1325,GWp,COL
22,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,28.623,GWp,PER
23,1.237660959,G$/GWp,262800,h,WINDOUT,24,0,64.1655,GWp,CHL
24,0.97032,G$/GWp,262800,h,WINDOUT,24,0,,GWp,MOZ
