country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,VN,LA,,70.7,2.7,RE_PV_Openfield_Lim_[KR]
KR,VN,LA,,70.7,0.0,RE_PV_Rooftop_Lim_[KR]
KR,VN,LA,,70.7,8.4,RE_WIND_Onshore_Lim_0_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,VN,LA,,70.7,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,VN,LA,,70.7,0.1,HYDRO_[KR]
KR,VN,LA,,70.7,4.8,PP_CO2_[KR]
KR,VN,LA,,70.7,0.9,BESS_[KR]
KR,VN,LA,,70.7,0.3,EL_to_HTH_[KR]
KR,VN,LA,,70.7,0.0,EL_to_NH3_[KR]
KR,VN,LA,,70.7,0.0,NH3_Storage_[KR]
KR,VN,LA,,70.7,0.0,NH3_to_EL_[KR]
KR,VN,LA,,70.7,0.0,NH3_to_HTH_[KR]
KR,VN,LA,,70.7,1.9,FF_to_HTH_[KR]
KR,VN,LA,,70.7,0.0,EL_Demand_[KR]
KR,VN,LA,,70.7,0.0,HTH_Demand_[KR]
KR,VN,LA,,70.7,0.0,RE_PV_Rooftop_Lim_[LA]
KR,VN,LA,,70.7,0.0,RE_PV_Openfield_Lim_[LA]
KR,VN,LA,,70.7,0.1,RE_WIND_Onshore_Lim_[LA]
KR,VN,LA,,70.7,0.1,PP_CO2_[LA]
KR,VN,LA,,70.7,0.0,BESS_[LA]
KR,VN,LA,,70.7,0.0,EL_to_HTH_[LA]
KR,VN,LA,,70.7,0.0,EL_to_NH3_[LA]
KR,VN,LA,,70.7,0.0,NH3_Storage_[LA]
KR,VN,LA,,70.7,0.0,NH3_to_EL_[LA]
KR,VN,LA,,70.7,0.0,NH3_to_HTH_[LA]
KR,VN,LA,,70.7,0.0,FF_to_HTH_[LA]
KR,VN,LA,,70.7,0.0,EL_Demand_[LA]
