country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
PE,,,,0.0,0.2,RE_PV_Openfield_Lim_[PE]
PE,,,,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,0.0,2.0,RE_WIND_Onshore_Lim_0_[PE]
PE,,,,0.0,0.0,RE_WIND_Onshore_Lim_1_[PE]
PE,,,,0.0,0.0,RE_WIND_Onshore_Lim_2_[PE]
PE,,,,0.0,0.0,RE_WIND_Onshore_Lim_3_[PE]
PE,,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[PE]
PE,,,,0.0,0.0,RE_WIND_Onshore_Lim_5_[PE]
PE,,,,0.0,0.0,RE_WIND_Onshore_Lim_6_[PE]
PE,,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[PE]
PE,,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[PE]
PE,,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[PE]
PE,,,,0.0,0.6,RE_WIND_Offshore_Lim_0_[PE]
PE,,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[PE]
PE,,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[PE]
PE,,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[PE]
PE,,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[PE]
PE,,,,0.0,0.0,RE_WIND_Offshore_Lim_5_[PE]
PE,,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[PE]
PE,,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[PE]
PE,,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[PE]
PE,,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[PE]
PE,,,,0.0,0.1,HYDRO_[PE]
PE,,,,0.0,0.0,PP_CO2_[PE]
PE,,,,0.0,0.4,BESS_[PE]
PE,,,,0.0,0.1,EL_to_HTH_[PE]
PE,,,,0.0,0.1,EL_to_NH3_[PE]
PE,,,,0.0,0.3,NH3_Storage_[PE]
PE,,,,0.0,0.0,NH3_to_EL_[PE]
PE,,,,0.0,0.0,NH3_to_HTH_[PE]
PE,,,,0.0,0.0,FF_to_HTH_[PE]
PE,,,,0.0,0.0,EL_Demand_[PE]
PE,,,,0.0,0.0,HTH_Demand_[PE]
