Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,4,4,287
1,RE_PV_Rooftop_Lim,4,4,4
2,RE_PV_Openfield_Lim,4,4,4
3,RE_WIND_Offshore_Lim,4,4,4
4,RE_WIND_Onshore_Lim,4,4,4
5,PP_CO2,4,4,4
6,BESS,4,4,4
7,EL_to_HTH,4,4,4
8,EL_to_NH3,4,4,4
9,NH3_Storage,4,4,4
10,NH3_to_EL,4,4,4
11,NH3_to_HTH,4,4,4
12,FF_to_HTH,4,4,4
13,EL_Demand,4,4,4
14,HTH_Demand,4,4,4
1,RE_PV_Rooftop_Lim,9,9,9
2,RE_PV_Openfield_Lim,9,9,9
3,RE_WIND_Onshore_Lim,9,9,9
4,PP_CO2,9,9,9
5,BESS,9,9,9
6,EL_to_HTH,9,9,9
7,EL_to_NH3,9,9,9
8,NH3_Storage,9,9,9
9,NH3_to_EL,9,9,9
10,NH3_to_HTH,9,9,9
11,FF_to_HTH,9,9,9
12,EL_Demand,9,9,9
13,HTH_Demand,9,9,9
1,RE_PV_Rooftop_Lim,7,7,7
2,RE_PV_Openfield_Lim,7,7,7
3,RE_WIND_Offshore_Lim,7,7,7
4,RE_WIND_Onshore_Lim,7,7,7
5,PP_CO2,7,7,7
6,BESS,7,7,7
7,EL_to_HTH,7,7,7
8,EL_to_NH3,7,7,7
9,NH3_Storage,7,7,7
10,NH3_to_EL,7,7,7
11,NH3_to_HTH,7,7,7
12,FF_to_HTH,7,7,7
13,EL_Demand,7,7,7
14,HTH_Demand,7,7,7
15,EL_Transport,4,9,0
16,NH3_Transport,4,9,0
17,EL_Transport,4,7,0
18,NH3_Transport,4,7,0
19,EL_Transport,9,7,0
20,NH3_Transport,9,7,0
