country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,LA,,,0.0,3.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,0.0,1.3,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,0.0,8.4,RE_WIND_Onshore_Lim_0_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,LA,,,0.0,11.4,RE_WIND_Offshore_Lim_5_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,LA,,,0.0,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,LA,,,0.0,0.1,HYDRO_[KR]
KR,LA,,,0.0,0.0,PP_CO2_[KR]
KR,LA,,,0.0,6.3,BESS_[KR]
KR,LA,,,0.0,0.3,EL_to_HTH_[KR]
KR,LA,,,0.0,2.4,EL_to_NH3_[KR]
KR,LA,,,0.0,6.3,NH3_Storage_[KR]
KR,LA,,,0.0,0.6,NH3_to_EL_[KR]
KR,LA,,,0.0,0.1,NH3_to_HTH_[KR]
KR,LA,,,0.0,0.0,FF_to_HTH_[KR]
KR,LA,,,0.0,0.0,EL_Demand_[KR]
KR,LA,,,0.0,0.0,HTH_Demand_[KR]
KR,LA,,,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,0.0,0.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,0.0,0.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,0.0,0.0,PP_CO2_[LA]
KR,LA,,,0.0,0.2,BESS_[LA]
KR,LA,,,0.0,0.0,EL_to_HTH_[LA]
KR,LA,,,0.0,0.0,EL_to_NH3_[LA]
KR,LA,,,0.0,0.1,NH3_Storage_[LA]
KR,LA,,,0.0,0.0,NH3_to_EL_[LA]
KR,LA,,,0.0,0.0,NH3_to_HTH_[LA]
KR,LA,,,0.0,0.0,FF_to_HTH_[LA]
KR,LA,,,0.0,0.0,EL_Demand_[LA]
KR,LA,,,0.0,0.0,HTH_Demand_[LA]
KR,LA,,,98.7,2.4,RE_PV_Openfield_Lim_[KR]
KR,LA,,,98.7,0.0,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,98.7,6.9,RE_WIND_Onshore_Lim_0_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,LA,,,98.7,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,LA,,,98.7,0.1,HYDRO_[KR]
KR,LA,,,98.7,7.8,PP_CO2_[KR]
KR,LA,,,98.7,0.3,BESS_[KR]
KR,LA,,,98.7,0.3,EL_to_HTH_[KR]
KR,LA,,,98.7,0.0,EL_to_NH3_[KR]
KR,LA,,,98.7,0.0,NH3_Storage_[KR]
KR,LA,,,98.7,0.0,NH3_to_EL_[KR]
KR,LA,,,98.7,0.0,NH3_to_HTH_[KR]
KR,LA,,,98.7,2.5,FF_to_HTH_[KR]
KR,LA,,,98.7,0.0,EL_Demand_[KR]
KR,LA,,,98.7,0.0,HTH_Demand_[KR]
KR,LA,,,98.7,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,98.7,0.0,RE_PV_Openfield_Lim_[LA]
KR,LA,,,98.7,0.1,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,98.7,0.1,PP_CO2_[LA]
KR,LA,,,98.7,0.0,BESS_[LA]
KR,LA,,,98.7,0.0,EL_to_HTH_[LA]
KR,LA,,,98.7,0.0,EL_to_NH3_[LA]
KR,LA,,,98.7,0.0,NH3_Storage_[LA]
KR,LA,,,98.7,0.0,NH3_to_EL_[LA]
KR,LA,,,98.7,0.0,NH3_to_HTH_[LA]
KR,LA,,,98.7,0.0,FF_to_HTH_[LA]
KR,LA,,,98.7,0.0,EL_Demand_[LA]
KR,LA,,,98.7,0.0,HTH_Demand_[LA]
KR,LA,,,42.3,3.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,42.3,1.3,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,42.3,8.4,RE_WIND_Onshore_Lim_0_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,LA,,,42.3,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,LA,,,42.3,0.1,HYDRO_[KR]
KR,LA,,,42.3,3.0,PP_CO2_[KR]
KR,LA,,,42.3,5.9,BESS_[KR]
KR,LA,,,42.3,0.3,EL_to_HTH_[KR]
KR,LA,,,42.3,0.0,EL_to_NH3_[KR]
KR,LA,,,42.3,0.0,NH3_Storage_[KR]
KR,LA,,,42.3,0.0,NH3_to_EL_[KR]
KR,LA,,,42.3,0.0,NH3_to_HTH_[KR]
KR,LA,,,42.3,1.9,FF_to_HTH_[KR]
KR,LA,,,42.3,0.0,EL_Demand_[KR]
KR,LA,,,42.3,0.0,HTH_Demand_[KR]
KR,LA,,,42.3,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,42.3,0.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,42.3,0.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,42.3,0.0,PP_CO2_[LA]
KR,LA,,,42.3,0.1,BESS_[LA]
KR,LA,,,42.3,0.0,EL_to_HTH_[LA]
KR,LA,,,42.3,0.0,EL_to_NH3_[LA]
KR,LA,,,42.3,0.0,NH3_Storage_[LA]
KR,LA,,,42.3,0.0,NH3_to_EL_[LA]
KR,LA,,,42.3,0.0,NH3_to_HTH_[LA]
KR,LA,,,42.3,0.0,FF_to_HTH_[LA]
KR,LA,,,42.3,0.0,EL_Demand_[LA]
KR,LA,,,42.3,0.0,HTH_Demand_[LA]
KR,LA,,,28.2,3.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,28.2,1.3,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,28.2,8.4,RE_WIND_Onshore_Lim_0_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,LA,,,28.2,1.2,RE_WIND_Offshore_Lim_5_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,LA,,,28.2,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,LA,,,28.2,0.1,HYDRO_[KR]
KR,LA,,,28.2,1.6,PP_CO2_[KR]
KR,LA,,,28.2,7.7,BESS_[KR]
KR,LA,,,28.2,0.3,EL_to_HTH_[KR]
KR,LA,,,28.2,0.8,EL_to_NH3_[KR]
KR,LA,,,28.2,1.1,NH3_Storage_[KR]
KR,LA,,,28.2,0.1,NH3_to_EL_[KR]
KR,LA,,,28.2,0.0,NH3_to_HTH_[KR]
KR,LA,,,28.2,1.7,FF_to_HTH_[KR]
KR,LA,,,28.2,0.0,EL_Demand_[KR]
KR,LA,,,28.2,0.0,HTH_Demand_[KR]
KR,LA,,,28.2,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,28.2,0.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,28.2,0.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,28.2,0.0,PP_CO2_[LA]
KR,LA,,,28.2,0.1,BESS_[LA]
KR,LA,,,28.2,0.0,EL_to_HTH_[LA]
KR,LA,,,28.2,0.0,EL_to_NH3_[LA]
KR,LA,,,28.2,0.0,NH3_Storage_[LA]
KR,LA,,,28.2,0.0,NH3_to_EL_[LA]
KR,LA,,,28.2,0.0,NH3_to_HTH_[LA]
KR,LA,,,28.2,0.0,FF_to_HTH_[LA]
KR,LA,,,28.2,0.0,EL_Demand_[LA]
KR,LA,,,28.2,0.0,HTH_Demand_[LA]
KR,LA,,,90.7,2.6,RE_PV_Openfield_Lim_[KR]
KR,LA,,,90.7,0.0,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,90.7,7.4,RE_WIND_Onshore_Lim_0_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Offshore_Lim_5_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,LA,,,90.7,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,LA,,,90.7,0.1,HYDRO_[KR]
KR,LA,,,90.7,7.3,PP_CO2_[KR]
KR,LA,,,90.7,0.3,BESS_[KR]
KR,LA,,,90.7,0.3,EL_to_HTH_[KR]
KR,LA,,,90.7,0.0,EL_to_NH3_[KR]
KR,LA,,,90.7,0.0,NH3_Storage_[KR]
KR,LA,,,90.7,0.0,NH3_to_EL_[KR]
KR,LA,,,90.7,0.0,NH3_to_HTH_[KR]
KR,LA,,,90.7,2.4,FF_to_HTH_[KR]
KR,LA,,,90.7,0.0,EL_Demand_[KR]
KR,LA,,,90.7,0.0,HTH_Demand_[KR]
KR,LA,,,90.7,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,90.7,0.0,RE_PV_Openfield_Lim_[LA]
KR,LA,,,90.7,0.1,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,90.7,0.1,PP_CO2_[LA]
KR,LA,,,90.7,0.0,BESS_[LA]
KR,LA,,,90.7,0.0,EL_to_HTH_[LA]
KR,LA,,,90.7,0.0,EL_to_NH3_[LA]
KR,LA,,,90.7,0.0,NH3_Storage_[LA]
KR,LA,,,90.7,0.0,NH3_to_EL_[LA]
KR,LA,,,90.7,0.0,NH3_to_HTH_[LA]
KR,LA,,,90.7,0.0,FF_to_HTH_[LA]
KR,LA,,,90.7,0.0,EL_Demand_[LA]
KR,LA,,,90.7,0.0,HTH_Demand_[LA]
KR,LA,,,14.1,3.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,14.1,1.3,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,14.1,8.4,RE_WIND_Onshore_Lim_0_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,LA,,,14.1,4.8,RE_WIND_Offshore_Lim_5_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,LA,,,14.1,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,LA,,,14.1,0.1,HYDRO_[KR]
KR,LA,,,14.1,0.4,PP_CO2_[KR]
KR,LA,,,14.1,6.5,BESS_[KR]
KR,LA,,,14.1,0.3,EL_to_HTH_[KR]
KR,LA,,,14.1,2.1,EL_to_NH3_[KR]
KR,LA,,,14.1,3.0,NH3_Storage_[KR]
KR,LA,,,14.1,0.6,NH3_to_EL_[KR]
KR,LA,,,14.1,0.1,NH3_to_HTH_[KR]
KR,LA,,,14.1,1.3,FF_to_HTH_[KR]
KR,LA,,,14.1,0.0,EL_Demand_[KR]
KR,LA,,,14.1,0.0,HTH_Demand_[KR]
KR,LA,,,14.1,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,14.1,0.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,14.1,0.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,14.1,0.0,PP_CO2_[LA]
KR,LA,,,14.1,0.1,BESS_[LA]
KR,LA,,,14.1,0.0,EL_to_HTH_[LA]
KR,LA,,,14.1,0.0,EL_to_NH3_[LA]
KR,LA,,,14.1,0.0,NH3_Storage_[LA]
KR,LA,,,14.1,0.0,NH3_to_EL_[LA]
KR,LA,,,14.1,0.0,NH3_to_HTH_[LA]
KR,LA,,,14.1,0.0,FF_to_HTH_[LA]
KR,LA,,,14.1,0.0,EL_Demand_[LA]
KR,LA,,,14.1,0.0,HTH_Demand_[LA]
KR,LA,,,30.3,3.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,30.3,1.3,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,30.3,8.4,RE_WIND_Onshore_Lim_0_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Onshore_Lim_1_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Onshore_Lim_2_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Onshore_Lim_3_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Onshore_Lim_4_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Onshore_Lim_5_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Onshore_Lim_6_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Onshore_Lim_7_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Onshore_Lim_8_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Onshore_Lim_9_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Offshore_Lim_0_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Offshore_Lim_1_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Offshore_Lim_2_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Offshore_Lim_3_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Offshore_Lim_4_[KR]
KR,LA,,,30.3,0.7,RE_WIND_Offshore_Lim_5_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Offshore_Lim_6_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Offshore_Lim_7_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Offshore_Lim_8_[KR]
KR,LA,,,30.3,0.0,RE_WIND_Offshore_Lim_9_[KR]
KR,LA,,,30.3,0.1,HYDRO_[KR]
KR,LA,,,30.3,1.8,PP_CO2_[KR]
KR,LA,,,30.3,7.9,BESS_[KR]
KR,LA,,,30.3,0.3,EL_to_HTH_[KR]
KR,LA,,,30.3,0.6,EL_to_NH3_[KR]
KR,LA,,,30.3,0.9,NH3_Storage_[KR]
KR,LA,,,30.3,0.1,NH3_to_EL_[KR]
KR,LA,,,30.3,0.0,NH3_to_HTH_[KR]
KR,LA,,,30.3,1.8,FF_to_HTH_[KR]
KR,LA,,,30.3,0.0,EL_Demand_[KR]
KR,LA,,,30.3,0.0,HTH_Demand_[KR]
KR,LA,,,30.3,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,30.3,0.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,30.3,0.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,30.3,0.0,PP_CO2_[LA]
KR,LA,,,30.3,0.1,BESS_[LA]
KR,LA,,,30.3,0.0,EL_to_HTH_[LA]
