region,group,scenario,2022,2030,2040,2050
BRA,0,high,1452.065244,1366.882943,1210.864583,1053.629782
BRA,1,high,1452.945708,1367.711757,1211.598795,1054.268654
BRA,2,high,1452.96902,1367.733701,1211.618234,1054.285569
BRA,3,high,1452.96902,1367.733701,1211.618234,1054.285569
BRA,4,high,1452.96902,1367.733701,1211.618234,1054.285569
BRA,5,high,1452.96902,1367.733701,1211.618234,1054.285569
BRA,6,high,1452.96902,1367.733701,1211.618234,1054.285569
BRA,7,high,1452.96902,1367.733701,1211.618234,1054.285569
BRA,8,high,1452.96902,1367.733701,1211.618234,1054.285569
BRA,9,high,1452.96902,1367.733701,1211.618234,1054.285569
