country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
PH,TH,,,0.0,1.0,59.7,RE_PV_Openfield_Lim_[PH]
PH,TH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,0.0,4.0,116.3,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
PH,TH,,,0.0,0.1,3.3,HYDRO_[PH]
PH,TH,,,0.0,0.0,0.0,PP_CO2_[PH]
PH,TH,,,0.0,0.4,24.8,BESS_[PH]
PH,TH,,,0.0,0.1,11.3,EL_to_HTH_[PH]
PH,TH,,,0.0,0.8,14.6,EL_to_NH3_[PH]
PH,TH,,,0.0,2.3,139.1,NH3_Storage_[PH]
PH,TH,,,0.0,0.4,5.3,NH3_to_EL_[PH]
PH,TH,,,0.0,0.0,2.2,NH3_to_HTH_[PH]
PH,TH,,,0.0,0.0,0.0,FF_to_HTH_[PH]
PH,TH,,,0.0,0.0,36.4,EL_Demand_[PH]
PH,TH,,,0.0,0.0,11.5,HTH_Demand_[PH]
PH,TH,,,0.0,3.0,178.8,RE_PV_Openfield_Lim_[TH]
PH,TH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_0_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
PH,TH,,,0.0,7.8,163.1,RE_WIND_Onshore_Lim_2_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
PH,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
PH,TH,,,0.0,0.1,3.6,HYDRO_[TH]
PH,TH,,,0.0,0.0,0.0,PP_CO2_[TH]
PH,TH,,,0.0,1.5,84.4,BESS_[TH]
PH,TH,,,0.0,0.4,33.5,EL_to_HTH_[TH]
PH,TH,,,0.0,0.4,6.1,EL_to_NH3_[TH]
PH,TH,,,0.0,3.9,236.4,NH3_Storage_[TH]
PH,TH,,,0.0,0.6,7.4,NH3_to_EL_[TH]
PH,TH,,,0.0,0.1,6.6,NH3_to_HTH_[TH]
PH,TH,,,0.0,0.0,0.0,FF_to_HTH_[TH]
PH,TH,,,0.0,0.0,65.4,EL_Demand_[TH]
PH,TH,,,0.0,0.0,34.3,HTH_Demand_[TH]
PH,TH,,,0.0,1.2,15.3,EL_Transport_[PH-TH]
PH,TH,,,0.0,0.0,140.5,NH3_Transport_[PH-TH]
PH,TH,,,84.1,0.0,0.2,RE_PV_Openfield_Lim_[PH]
PH,TH,,,84.1,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,84.1,2.3,68.7,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
PH,TH,,,84.1,0.1,3.3,HYDRO_[PH]
PH,TH,,,84.1,2.0,22.8,PP_CO2_[PH]
PH,TH,,,84.1,0.0,0.8,BESS_[PH]
PH,TH,,,84.1,0.1,11.3,EL_to_HTH_[PH]
PH,TH,,,84.1,0.0,0.0,EL_to_NH3_[PH]
PH,TH,,,84.1,0.0,0.0,NH3_Storage_[PH]
PH,TH,,,84.1,0.0,0.0,NH3_to_EL_[PH]
PH,TH,,,84.1,0.0,0.0,NH3_to_HTH_[PH]
PH,TH,,,84.1,0.7,11.2,FF_to_HTH_[PH]
PH,TH,,,84.1,0.0,36.4,EL_Demand_[PH]
PH,TH,,,84.1,0.0,11.5,HTH_Demand_[PH]
PH,TH,,,84.1,1.7,102.0,RE_PV_Openfield_Lim_[TH]
PH,TH,,,84.1,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
PH,TH,,,84.1,4.3,111.3,RE_WIND_Onshore_Lim_0_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_2_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
PH,TH,,,84.1,0.1,3.6,HYDRO_[TH]
PH,TH,,,84.1,3.5,44.6,PP_CO2_[TH]
PH,TH,,,84.1,0.1,3.7,BESS_[TH]
PH,TH,,,84.1,0.4,32.9,EL_to_HTH_[TH]
PH,TH,,,84.1,0.0,0.0,EL_to_NH3_[TH]
PH,TH,,,84.1,0.0,0.0,NH3_Storage_[TH]
PH,TH,,,84.1,0.0,0.0,NH3_to_EL_[TH]
PH,TH,,,84.1,0.0,0.0,NH3_to_HTH_[TH]
PH,TH,,,84.1,2.7,33.5,FF_to_HTH_[TH]
PH,TH,,,84.1,0.0,65.4,EL_Demand_[TH]
PH,TH,,,84.1,0.0,34.3,HTH_Demand_[TH]
PH,TH,,,84.1,0.2,2.0,EL_Transport_[PH-TH]
PH,TH,,,84.1,0.0,0.0,NH3_Transport_[PH-TH]
PH,TH,,,84.1,0.0,0.2,RE_PV_Openfield_Lim_[PH]
PH,TH,,,84.1,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,84.1,2.3,68.7,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
PH,TH,,,84.1,0.1,3.3,HYDRO_[PH]
PH,TH,,,84.1,2.0,22.8,PP_CO2_[PH]
PH,TH,,,84.1,0.0,0.8,BESS_[PH]
PH,TH,,,84.1,0.1,11.3,EL_to_HTH_[PH]
PH,TH,,,84.1,0.0,0.0,EL_to_NH3_[PH]
PH,TH,,,84.1,0.0,0.0,NH3_Storage_[PH]
PH,TH,,,84.1,0.0,0.0,NH3_to_EL_[PH]
PH,TH,,,84.1,0.0,0.0,NH3_to_HTH_[PH]
PH,TH,,,84.1,0.7,11.2,FF_to_HTH_[PH]
PH,TH,,,84.1,0.0,36.4,EL_Demand_[PH]
PH,TH,,,84.1,0.0,11.5,HTH_Demand_[PH]
PH,TH,,,84.1,1.7,102.0,RE_PV_Openfield_Lim_[TH]
PH,TH,,,84.1,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
PH,TH,,,84.1,4.3,111.3,RE_WIND_Onshore_Lim_0_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_2_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
PH,TH,,,84.1,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
PH,TH,,,84.1,0.1,3.6,HYDRO_[TH]
PH,TH,,,84.1,3.5,44.6,PP_CO2_[TH]
PH,TH,,,84.1,0.1,3.7,BESS_[TH]
PH,TH,,,84.1,0.4,32.9,EL_to_HTH_[TH]
PH,TH,,,84.1,0.0,0.0,EL_to_NH3_[TH]
PH,TH,,,84.1,0.0,0.0,NH3_Storage_[TH]
PH,TH,,,84.1,0.0,0.0,NH3_to_EL_[TH]
PH,TH,,,84.1,0.0,0.0,NH3_to_HTH_[TH]
PH,TH,,,84.1,2.7,33.5,FF_to_HTH_[TH]
PH,TH,,,84.1,0.0,65.4,EL_Demand_[TH]
PH,TH,,,84.1,0.0,34.3,HTH_Demand_[TH]
PH,TH,,,84.1,0.2,2.0,EL_Transport_[PH-TH]
PH,TH,,,84.1,0.0,0.0,NH3_Transport_[PH-TH]
PH,TH,,,77.3,0.0,0.0,RE_PV_Openfield_Lim_[PH]
PH,TH,,,77.3,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,77.3,2.4,71.8,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
PH,TH,,,77.3,0.1,3.3,HYDRO_[PH]
PH,TH,,,77.3,1.9,21.6,PP_CO2_[PH]
PH,TH,,,77.3,0.0,0.2,BESS_[PH]
PH,TH,,,77.3,0.1,11.3,EL_to_HTH_[PH]
PH,TH,,,77.3,0.0,0.0,EL_to_NH3_[PH]
PH,TH,,,77.3,0.0,0.0,NH3_Storage_[PH]
PH,TH,,,77.3,0.0,0.0,NH3_to_EL_[PH]
PH,TH,,,77.3,0.0,0.0,NH3_to_HTH_[PH]
PH,TH,,,77.3,0.7,11.2,FF_to_HTH_[PH]
PH,TH,,,77.3,0.0,36.4,EL_Demand_[PH]
PH,TH,,,77.3,0.0,11.5,HTH_Demand_[PH]
PH,TH,,,77.3,1.8,105.8,RE_PV_Openfield_Lim_[TH]
PH,TH,,,77.3,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
PH,TH,,,77.3,4.4,114.3,RE_WIND_Onshore_Lim_0_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
PH,TH,,,77.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
PH,TH,,,77.3,0.1,3.6,HYDRO_[TH]
PH,TH,,,77.3,3.4,44.7,PP_CO2_[TH]
PH,TH,,,77.3,0.1,7.8,BESS_[TH]
PH,TH,,,77.3,0.4,32.9,EL_to_HTH_[TH]
PH,TH,,,77.3,0.0,0.0,EL_to_NH3_[TH]
PH,TH,,,77.3,0.0,0.0,NH3_Storage_[TH]
PH,TH,,,77.3,0.0,0.0,NH3_to_EL_[TH]
PH,TH,,,77.3,0.0,0.0,NH3_to_HTH_[TH]
PH,TH,,,77.3,2.6,33.5,FF_to_HTH_[TH]
PH,TH,,,77.3,0.0,65.4,EL_Demand_[TH]
PH,TH,,,77.3,0.0,34.3,HTH_Demand_[TH]
PH,TH,,,77.3,0.3,3.6,EL_Transport_[PH-TH]
PH,TH,,,77.3,0.0,0.0,NH3_Transport_[PH-TH]
PH,TH,,,66.3,0.0,0.1,RE_PV_Openfield_Lim_[PH]
PH,TH,,,66.3,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,66.3,2.6,75.8,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[PH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[PH]
PH,TH,,,66.3,0.1,3.3,HYDRO_[PH]
PH,TH,,,66.3,1.7,21.0,PP_CO2_[PH]
PH,TH,,,66.3,0.0,1.3,BESS_[PH]
PH,TH,,,66.3,0.1,11.3,EL_to_HTH_[PH]
PH,TH,,,66.3,0.0,0.0,EL_to_NH3_[PH]
PH,TH,,,66.3,0.0,0.0,NH3_Storage_[PH]
PH,TH,,,66.3,0.0,0.0,NH3_to_EL_[PH]
PH,TH,,,66.3,0.0,0.0,NH3_to_HTH_[PH]
PH,TH,,,66.3,0.6,11.3,FF_to_HTH_[PH]
PH,TH,,,66.3,0.0,36.4,EL_Demand_[PH]
PH,TH,,,66.3,0.0,11.5,HTH_Demand_[PH]
PH,TH,,,66.3,1.9,112.5,RE_PV_Openfield_Lim_[TH]
PH,TH,,,66.3,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
PH,TH,,,66.3,4.6,119.6,RE_WIND_Onshore_Lim_0_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
PH,TH,,,66.3,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
PH,TH,,,66.3,0.1,3.6,HYDRO_[TH]
PH,TH,,,66.3,3.1,43.7,PP_CO2_[TH]
PH,TH,,,66.3,0.2,11.1,BESS_[TH]
PH,TH,,,66.3,0.4,33.1,EL_to_HTH_[TH]
PH,TH,,,66.3,0.0,0.0,EL_to_NH3_[TH]
PH,TH,,,66.3,0.0,0.0,NH3_Storage_[TH]
PH,TH,,,66.3,0.0,0.0,NH3_to_EL_[TH]
PH,TH,,,66.3,0.0,0.0,NH3_to_HTH_[TH]
PH,TH,,,66.3,2.3,33.5,FF_to_HTH_[TH]
PH,TH,,,66.3,0.0,65.4,EL_Demand_[TH]
PH,TH,,,66.3,0.0,34.3,HTH_Demand_[TH]
PH,TH,,,66.3,0.6,7.1,EL_Transport_[PH-TH]
PH,TH,,,66.3,0.0,0.0,NH3_Transport_[PH-TH]
PH,TH,,,55.0,0.1,6.6,RE_PV_Openfield_Lim_[PH]
PH,TH,,,55.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,TH,,,55.0,2.7,80.4,RE_WIND_Onshore_Lim_0_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[PH]
PH,TH,,,55.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[PH]
