country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
TH,,,,262.7,0.1,5.5,RE_PV_Openfield_BAU_[TH]
TH,,,,262.7,0.0,0.5,RE_WIND_Onshore_BAU_0_[TH]
TH,,,,262.7,0.1,2.2,RE_WIND_Onshore_BAU_1_[TH]
TH,,,,262.7,0.0,0.0,RE_WIND_Onshore_BAU_2_[TH]
TH,,,,262.7,0.0,0.0,RE_WIND_Onshore_BAU_3_[TH]
TH,,,,262.7,0.0,0.0,RE_WIND_Onshore_BAU_4_[TH]
TH,,,,262.7,0.0,0.0,RE_WIND_Onshore_BAU_5_[TH]
TH,,,,262.7,0.0,0.0,RE_WIND_Onshore_BAU_6_[TH]
TH,,,,262.7,0.0,0.0,RE_WIND_Onshore_BAU_7_[TH]
TH,,,,262.7,0.0,0.0,RE_WIND_Onshore_BAU_8_[TH]
TH,,,,262.7,0.0,0.0,RE_WIND_Onshore_BAU_9_[TH]
TH,,,,262.7,0.1,4.4,HYDRO_[TH]
TH,,,,262.7,14.3,57.6,PP_CO2_[TH]
TH,,,,262.7,5.2,34.3,FF_to_HTH_[TH]
TH,,,,262.7,0.0,65.4,EL_Demand_[TH]
TH,,,,262.7,0.0,34.3,HTH_Demand_[TH]
LA,,,,0.4,0.0,0.0,RE_PV_Openfield_BAU_[LA]
LA,,,,0.4,0.0,0.0,RE_WIND_Onshore_BAU_0_[LA]
LA,,,,0.4,0.0,0.0,RE_WIND_Onshore_BAU_1_[LA]
LA,,,,0.4,0.0,0.0,RE_WIND_Onshore_BAU_2_[LA]
LA,,,,0.4,0.0,0.0,RE_WIND_Onshore_BAU_3_[LA]
LA,,,,0.4,0.0,0.0,RE_WIND_Onshore_BAU_4_[LA]
LA,,,,0.4,0.0,0.0,RE_WIND_Onshore_BAU_5_[LA]
LA,,,,0.4,0.0,0.0,RE_WIND_Onshore_BAU_6_[LA]
LA,,,,0.4,0.0,0.0,RE_WIND_Onshore_BAU_7_[LA]
LA,,,,0.4,0.0,0.0,RE_WIND_Onshore_BAU_8_[LA]
LA,,,,0.4,0.0,0.0,RE_WIND_Onshore_BAU_9_[LA]
LA,,,,0.4,0.1,1.6,HYDRO_[LA]
LA,,,,0.4,0.0,0.0,PP_CO2_[LA]
LA,,,,0.4,0.0,0.3,FF_to_HTH_[LA]
LA,,,,0.4,0.0,1.6,EL_Demand_[LA]
LA,,,,0.4,0.0,0.3,HTH_Demand_[LA]
CL,,,,36.9,0.4,17.4,RE_PV_Openfield_BAU_[CL]
CL,,,,36.9,0.4,9.4,RE_WIND_Onshore_BAU_0_[CL]
CL,,,,36.9,0.0,0.0,RE_WIND_Onshore_BAU_1_[CL]
CL,,,,36.9,0.0,0.0,RE_WIND_Onshore_BAU_2_[CL]
CL,,,,36.9,0.0,0.0,RE_WIND_Onshore_BAU_3_[CL]
CL,,,,36.9,0.0,0.0,RE_WIND_Onshore_BAU_4_[CL]
CL,,,,36.9,0.0,0.0,RE_WIND_Onshore_BAU_5_[CL]
CL,,,,36.9,0.0,0.0,RE_WIND_Onshore_BAU_6_[CL]
CL,,,,36.9,0.0,0.0,RE_WIND_Onshore_BAU_7_[CL]
CL,,,,36.9,0.0,0.0,RE_WIND_Onshore_BAU_8_[CL]
