country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
VN,KR,,,70.7,3.1,130.0,RE_PV_Openfield_Lim_[KR]
VN,KR,,,70.7,1.3,41.6,RE_PV_Rooftop_Lim_[KR]
VN,KR,,,70.7,8.4,164.8,RE_WIND_Onshore_Lim_0_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_1_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_2_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_3_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_4_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_5_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_6_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_7_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_8_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Onshore_Lim_9_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_0_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_1_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_2_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_3_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_4_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_5_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_6_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_7_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_8_[KR]
VN,KR,,,70.7,0.0,0.0,RE_WIND_Offshore_Lim_9_[KR]
VN,KR,,,70.7,0.1,6.0,HYDRO_[KR]
VN,KR,,,70.7,3.6,37.5,PP_CO2_[KR]
VN,KR,,,70.7,4.5,250.8,BESS_[KR]
VN,KR,,,70.7,0.3,23.4,EL_to_HTH_[KR]
