country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
SA,RU,,,0.0,0.0,0.0,RE_PV_Openfield_Lim_[RU]
SA,RU,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[RU]
SA,RU,,,0.0,10.0,168.8,RE_WIND_Onshore_Lim_0_[RU]
SA,RU,,,0.0,2.1,34.7,RE_WIND_Onshore_Lim_1_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[RU]
SA,RU,,,0.0,11.2,240.8,RE_WIND_Onshore_Lim_6_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[RU]
SA,RU,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[RU]
SA,RU,,,0.0,0.9,51.3,HYDRO_[RU]
