country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
MY,TH,,,0.0,3.3,191.4,RE_PV_Openfield_Lim_[MY]
MY,TH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,TH,,,0.0,2.5,40.2,RE_WIND_Onshore_Lim_0_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[MY]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[MY]
MY,TH,,,0.0,0.2,6.0,HYDRO_[MY]
MY,TH,,,0.0,0.0,0.0,PP_CO2_[MY]
MY,TH,,,0.0,5.0,279.1,BESS_[MY]
MY,TH,,,0.0,0.1,12.5,EL_to_HTH_[MY]
MY,TH,,,0.0,0.5,8.3,EL_to_NH3_[MY]
MY,TH,,,0.0,1.2,69.5,NH3_Storage_[MY]
MY,TH,,,0.0,0.0,0.0,NH3_to_EL_[MY]
MY,TH,,,0.0,0.0,2.1,NH3_to_HTH_[MY]
MY,TH,,,0.0,0.0,0.0,FF_to_HTH_[MY]
MY,TH,,,0.0,0.0,34.4,EL_Demand_[MY]
MY,TH,,,0.0,0.0,12.7,HTH_Demand_[MY]
MY,TH,,,0.0,3.8,221.9,RE_PV_Openfield_Lim_[TH]
MY,TH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_0_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
MY,TH,,,0.0,11.2,233.2,RE_WIND_Onshore_Lim_2_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
MY,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
MY,TH,,,0.0,0.0,3.6,HYDRO_[TH]
MY,TH,,,0.0,0.0,0.0,PP_CO2_[TH]
MY,TH,,,0.0,3.3,185.5,BESS_[TH]
MY,TH,,,0.0,0.4,33.2,EL_to_HTH_[TH]
MY,TH,,,0.0,0.3,5.7,EL_to_NH3_[TH]
MY,TH,,,0.0,2.8,169.2,NH3_Storage_[TH]
MY,TH,,,0.0,0.2,1.9,NH3_to_EL_[TH]
MY,TH,,,0.0,0.1,6.6,NH3_to_HTH_[TH]
MY,TH,,,0.0,0.0,0.0,FF_to_HTH_[TH]
MY,TH,,,0.0,0.0,65.4,EL_Demand_[TH]
MY,TH,,,0.0,0.0,34.3,HTH_Demand_[TH]
MY,TH,,,100.0,1.1,66.4,RE_PV_Openfield_Lim_[MY]
MY,TH,,,100.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,TH,,,100.0,2.6,42.6,RE_WIND_Onshore_Lim_0_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[MY]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[MY]
MY,TH,,,100.0,0.2,6.0,HYDRO_[MY]
MY,TH,,,100.0,2.3,20.6,PP_CO2_[MY]
MY,TH,,,100.0,0.2,12.4,BESS_[MY]
MY,TH,,,100.0,0.1,11.8,EL_to_HTH_[MY]
MY,TH,,,100.0,0.0,0.0,EL_to_NH3_[MY]
MY,TH,,,100.0,0.0,0.0,NH3_Storage_[MY]
MY,TH,,,100.0,0.0,0.0,NH3_to_EL_[MY]
MY,TH,,,100.0,0.0,0.0,NH3_to_HTH_[MY]
MY,TH,,,100.0,1.5,12.5,FF_to_HTH_[MY]
MY,TH,,,100.0,0.0,34.4,EL_Demand_[MY]
MY,TH,,,100.0,0.0,12.7,HTH_Demand_[MY]
MY,TH,,,100.0,1.9,111.1,RE_PV_Openfield_Lim_[TH]
MY,TH,,,100.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
MY,TH,,,100.0,4.4,113.4,RE_WIND_Onshore_Lim_0_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
MY,TH,,,100.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
MY,TH,,,100.0,0.1,3.6,HYDRO_[TH]
MY,TH,,,100.0,3.5,44.6,PP_CO2_[TH]
MY,TH,,,100.0,0.2,9.0,BESS_[TH]
MY,TH,,,100.0,0.4,33.1,EL_to_HTH_[TH]
MY,TH,,,100.0,0.0,0.0,EL_to_NH3_[TH]
MY,TH,,,100.0,0.0,0.0,NH3_Storage_[TH]
MY,TH,,,100.0,0.0,0.0,NH3_to_EL_[TH]
MY,TH,,,100.0,0.0,0.0,NH3_to_HTH_[TH]
MY,TH,,,100.0,2.6,33.5,FF_to_HTH_[TH]
MY,TH,,,100.0,0.0,65.4,EL_Demand_[TH]
