country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BN,TH,,,0.0,0.1,5.0,RE_PV_Openfield_Lim_[BN]
BN,TH,,,0.0,0.0,0.4,RE_PV_Rooftop_Lim_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_0_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[BN]
BN,TH,,,0.0,0.0,0.3,RE_WIND_Onshore_Lim_4_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[BN]
BN,TH,,,0.0,0.4,1.9,RE_WIND_Offshore_Lim_0_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[BN]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[BN]
BN,TH,,,0.0,0.0,0.0,HYDRO_[BN]
BN,TH,,,0.0,0.0,0.0,PP_CO2_[BN]
BN,TH,,,0.0,0.2,13.3,BESS_[BN]
BN,TH,,,0.0,0.0,0.1,EL_to_HTH_[BN]
BN,TH,,,0.0,0.0,0.8,EL_to_NH3_[BN]
BN,TH,,,0.0,0.2,9.2,NH3_Storage_[BN]
BN,TH,,,0.0,0.0,0.1,NH3_to_EL_[BN]
BN,TH,,,0.0,0.0,0.0,NH3_to_HTH_[BN]
BN,TH,,,0.0,0.0,0.0,FF_to_HTH_[BN]
BN,TH,,,0.0,0.0,1.5,EL_Demand_[BN]
BN,TH,,,0.0,0.0,0.1,HTH_Demand_[BN]
BN,TH,,,0.0,3.8,221.9,RE_PV_Openfield_Lim_[TH]
BN,TH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_0_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
BN,TH,,,0.0,11.2,233.2,RE_WIND_Onshore_Lim_2_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
BN,TH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
BN,TH,,,0.0,0.0,3.6,HYDRO_[TH]
BN,TH,,,0.0,0.0,0.0,PP_CO2_[TH]
BN,TH,,,0.0,3.3,185.5,BESS_[TH]
BN,TH,,,0.0,0.4,33.2,EL_to_HTH_[TH]
BN,TH,,,0.0,0.3,5.7,EL_to_NH3_[TH]
BN,TH,,,0.0,2.8,169.2,NH3_Storage_[TH]
BN,TH,,,0.0,0.2,1.9,NH3_to_EL_[TH]
BN,TH,,,0.0,0.1,6.6,NH3_to_HTH_[TH]
BN,TH,,,0.0,0.0,0.0,FF_to_HTH_[TH]
BN,TH,,,0.0,0.0,65.4,EL_Demand_[TH]
BN,TH,,,0.0,0.0,34.3,HTH_Demand_[TH]
BN,TH,,,57.7,0.0,2.7,RE_PV_Openfield_Lim_[BN]
BN,TH,,,57.7,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_0_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_1_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_2_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_3_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_4_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_5_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_6_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_7_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_8_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_9_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_0_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_1_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_2_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_3_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_4_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_5_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_6_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_7_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_8_[BN]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_9_[BN]
BN,TH,,,57.7,0.0,0.0,HYDRO_[BN]
BN,TH,,,57.7,0.2,1.3,PP_CO2_[BN]
BN,TH,,,57.7,0.0,0.4,BESS_[BN]
BN,TH,,,57.7,0.0,0.1,EL_to_HTH_[BN]
BN,TH,,,57.7,0.0,0.0,EL_to_NH3_[BN]
BN,TH,,,57.7,0.0,0.0,NH3_Storage_[BN]
BN,TH,,,57.7,0.0,0.0,NH3_to_EL_[BN]
BN,TH,,,57.7,0.0,0.0,NH3_to_HTH_[BN]
BN,TH,,,57.7,0.0,0.1,FF_to_HTH_[BN]
BN,TH,,,57.7,0.0,1.5,EL_Demand_[BN]
BN,TH,,,57.7,0.0,0.1,HTH_Demand_[BN]
BN,TH,,,57.7,1.8,105.1,RE_PV_Openfield_Lim_[TH]
BN,TH,,,57.7,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
BN,TH,,,57.7,4.3,111.9,RE_WIND_Onshore_Lim_0_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_1_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_2_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_3_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_4_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_5_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_6_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_7_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_8_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Onshore_Lim_9_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_0_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_1_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_2_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_3_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_4_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_5_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_6_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_7_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_8_[TH]
BN,TH,,,57.7,0.0,0.0,RE_WIND_Offshore_Lim_9_[TH]
BN,TH,,,57.7,0.1,3.6,HYDRO_[TH]
BN,TH,,,57.7,3.6,45.6,PP_CO2_[TH]
BN,TH,,,57.7,0.1,5.4,BESS_[TH]
BN,TH,,,57.7,0.4,32.9,EL_to_HTH_[TH]
BN,TH,,,57.7,0.0,0.0,EL_to_NH3_[TH]
BN,TH,,,57.7,0.0,0.0,NH3_Storage_[TH]
BN,TH,,,57.7,0.0,0.0,NH3_to_EL_[TH]
BN,TH,,,57.7,0.0,0.0,NH3_to_HTH_[TH]
BN,TH,,,57.7,2.7,33.5,FF_to_HTH_[TH]
BN,TH,,,57.7,0.0,65.4,EL_Demand_[TH]
BN,TH,,,57.7,0.0,34.3,HTH_Demand_[TH]
BN,TH,,,54.0,0.0,2.9,RE_PV_Openfield_Lim_[BN]
