country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,MM,,,98.0,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MM,,,98.0,4.4,244.6,RE_PV_Openfield_Lim_[ID]
ID,MM,,,98.0,10.9,206.4,RE_WIND_Offshore_Lim_[ID]
ID,MM,,,98.0,12.9,267.3,RE_WIND_Onshore_Lim_[ID]
ID,MM,,,98.0,3.6,57.0,PP_CO2_[ID]
ID,MM,,,98.0,0.8,43.9,BESS_[ID]
ID,MM,,,98.0,1.3,116.6,EL_to_HTH_[ID]
ID,MM,,,98.0,0.0,0.0,EL_to_NH3_[ID]
ID,MM,,,98.0,0.0,0.0,NH3_Storage_[ID]
ID,MM,,,98.0,0.0,0.0,NH3_to_EL_[ID]
ID,MM,,,98.0,0.0,0.0,NH3_to_HTH_[ID]
ID,MM,,,98.0,8.0,116.6,FF_to_HTH_[ID]
ID,MM,,,98.0,0.0,138.0,EL_Demand_[ID]
ID,MM,,,98.0,0.0,117.7,HTH_Demand_[ID]
ID,MM,,,98.0,0.2,13.7,RE_PV_Openfield_Lim_[MM]
ID,MM,,,98.0,0.0,0.0,RE_PV_Rooftop_Lim_[MM]
ID,MM,,,98.0,0.9,19.5,RE_WIND_Onshore_Lim_0_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Onshore_Lim_1_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Onshore_Lim_2_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Onshore_Lim_3_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Onshore_Lim_4_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Onshore_Lim_5_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Onshore_Lim_6_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Onshore_Lim_7_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Onshore_Lim_8_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Onshore_Lim_9_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Offshore_Lim_0_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Offshore_Lim_1_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Offshore_Lim_2_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Offshore_Lim_3_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Offshore_Lim_4_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Offshore_Lim_5_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Offshore_Lim_6_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Offshore_Lim_7_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Offshore_Lim_8_[MM]
ID,MM,,,98.0,0.0,0.0,RE_WIND_Offshore_Lim_9_[MM]
ID,MM,,,98.0,0.1,2.6,HYDRO_[MM]
ID,MM,,,98.0,0.0,0.0,PP_CO2_[MM]
ID,MM,,,98.0,0.0,1.3,BESS_[MM]
ID,MM,,,98.0,0.1,6.3,EL_to_HTH_[MM]
ID,MM,,,98.0,0.0,0.0,EL_to_NH3_[MM]
ID,MM,,,98.0,0.0,0.0,NH3_Storage_[MM]
ID,MM,,,98.0,0.0,0.0,NH3_to_EL_[MM]
ID,MM,,,98.0,0.0,0.0,NH3_to_HTH_[MM]
ID,MM,,,98.0,0.3,6.3,FF_to_HTH_[MM]
ID,MM,,,98.0,0.0,6.5,EL_Demand_[MM]
ID,MM,,,98.0,0.0,6.6,HTH_Demand_[MM]
