Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,6.108180249,G$/GWp,262800,h,WINDOUT,24,0,0.003,GWp,0.02,0.1,GWp,0.005,SGP
1,4.233471834,G$/GWp,262800,h,WINDOUT,24,0,654.167,GWp,0.02,0.1,GWp,0.005,IDN
2,5.243535306,G$/GWp,262800,h,WINDOUT,24,0,74.594,GWp,0.02,0.1,GWp,0.005,MYS
3,5.654633228,G$/GWp,262800,h,WINDOUT,24,0,1.545,GWp,0.02,0.1,GWp,0.005,BRN
4,3.854700192,G$/GWp,262800,h,WINDOUT,24,0,14.814,GWp,0.02,0.1,GWp,0.005,KHM
5,3.401859754,G$/GWp,219000,h,WINDOUT,24,0,35.515,GWp,0.02,0.1,GWp,0.005,MMR
6,3.378088637,G$/GWp,262800,h,WINDOUT,24,0,98.583,GWp,0.02,0.1,GWp,0.005,PHL
7,3.786093854,G$/GWp,262800,h,WINDOUT,24,0,73.071,GWp,0.02,0.1,GWp,0.005,THA
8,3.311565323,G$/GWp,262800,h,WINDOUT,24,0,165.124,GWp,0.02,0.1,GWp,0.005,VNM
9,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,LAO
10,3.089802523,G$/GWp,219000,h,WINDOUT,24,0,258.995,GWp,0.02,0.1,GWp,0.005,AUS
11,3.047424146,G$/GWp,219000,h,WINDOUT,24,0,6.45,GWp,0.02,0.1,GWp,0.005,SAU
12,2.96620861,G$/GWp,219000,h,WINDOUT,24,0,61.093,GWp,0.02,0.1,GWp,0.005,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,ARE
14,3.289961671,G$/GWp,219000,h,WINDOUT,24,0,22.765,GWp,0.02,0.1,GWp,0.005,MAR
15,3.292946024,G$/GWp,219000,h,WINDOUT,24,0,1.529,GWp,0.02,0.1,GWp,0.005,KEN
16,3.079693799,G$/GWp,219000,h,WINDOUT,24,0,38.196,GWp,0.02,0.1,GWp,0.005,ZAF
17,4.458618452,G$/GWp,262800,h,WINDOUT,24,0,26.782,GWp,0.02,0.1,GWp,0.005,KOR
18,2.532755515,G$/GWp,219000,h,WINDOUT,24,0,6.696,GWp,0.02,0.1,GWp,0.005,EGY
19,3.787423246,G$/GWp,219000,h,WINDOUT,24,0,3.304,GWp,0.02,0.1,GWp,0.005,NGA
20,2.97840955,G$/GWp,262800,h,WINDOUT,24,0,131.094,GWp,0.02,0.1,GWp,0.005,BRA
21,2.831603738,G$/GWp,262800,h,WINDOUT,24,0,40.761,GWp,0.02,0.1,GWp,0.005,COL
22,3.603849627,G$/GWp,262800,h,WINDOUT,24,0,14.364,GWp,0.02,0.1,GWp,0.005,PER
23,2.717093373,G$/GWp,262800,h,WINDOUT,24,0,47.808,GWp,0.02,0.1,GWp,0.005,CHL
24,2.819917707,G$/GWp,219000,h,WINDOUT,24,0,7.007,GWp,0.02,0.1,GWp,0.005,FRA
25,2.825107812,G$/GWp,219000,h,WINDOUT,24,0,4.422,GWp,0.02,0.1,GWp,0.005,DEU
26,2.713935197,G$/GWp,219000,h,WINDOUT,24,0,105.758,GWp,0.02,0.1,GWp,0.005,USA
27,3.012084712,G$/GWp,219000,h,WINDOUT,24,0,590.06,GWp,0.02,0.1,GWp,0.005,RUS
28,2.405679553,G$/GWp,219000,h,WINDOUT,24,0,69.816,GWp,0.02,0.1,GWp,0.005,CHN
29,3.249503735,G$/GWp,219000,h,WINDOUT,24,0,11.571,GWp,0.02,0.1,GWp,0.005,TUR
30,4.578611087,G$/GWp,219000,h,WINDOUT,24,0,51.512,GWp,0.02,0.1,GWp,0.005,JPN
